participant_id,recording_id,timestamp,Left_Semitendinosus,Right_Semitendinosus,Left_Bicep_Femoris,Right_Bicep_Femoris,Left_Rectus_Femoris,Right_Rectus_Femoris,Left_Vastus_Lateralis,Right_Vastus_Lateralis,left_knee_angle,right_knee_angle,left_shank_angle,right_shank_angle,activity,label,leg_side,fatigue_level,exercise_duration_seconds
1,1776689563181,29.521,1.449138,1.303841,0.734847,0.916515,1.349074,1.67332,0.748331,1.067708,101.2178,89.45352,110.6846,121.1248,squat,squat,0,low,34.966270446777344
1,1776689563181,29.621,1.44222,1.83303,0.707107,0.916515,1.496663,1.881489,0.774597,1,112.0232,103.1521,107.4379,114.4256,squat,squat,0,low,34.966270446777344
1,1776689563181,29.721,1.708801,2.034699,0.707107,0.894427,1.536229,2.227106,0.707107,0.547723,123.6017,115.6088,102.8904,109.157,squat,squat,0,low,34.966270446777344
1,1776689563181,29.821,1.994994,3.098387,0.489898,0.894427,1.48324,2.465765,0.707107,0.489898,136.4821,128.5971,98.35859,105.7726,squat,squat,0,low,34.966270446777344
1,1776689563181,29.921,2.039608,3.24037,0.34641,0.894427,1.140175,2.336664,0.632456,0.34641,149.7428,141.5605,94.50842,102.2149,squat,squat,0,low,34.966270446777344
1,1776689563181,30.021,1.618641,3.196873,0.141421,0.72111,1.2,2.271563,0.547723,0.282843,161.0553,152.2709,91.83034,100.2397,squat,squat,0,low,34.966270446777344
1,1776689563181,30.121,1.618641,3.190611,0.141421,0.244949,1.428286,2.315167,0.547723,0.316228,170.5377,160.9153,89.80611,98.23918,squat,squat,0,low,34.966270446777344
1,1776689563181,30.221,1.643168,3.029851,0.141421,0.282843,1.428286,2.315167,0.547723,0.316228,175.9647,160.9153,89.16139,98.23918,squat,squat,0,low,34.966270446777344
1,1776689563181,30.321,1.469694,2.880972,0.141421,0.72111,1.311488,2.262742,0.663325,0.4,178.8656,165.1791,87.24914,97.41685,squat,squat,0,low,34.966270446777344
1,1776689563181,30.421,0.905538,1.939072,0.141421,0.774597,1.296148,2.177154,0.707107,0.4,178.8829,167.755,86.73676,93.94907,squat,squat,0,low,34.966270446777344
1,1776689563181,30.521,0.734847,0.905538,0.141421,0.774597,1.529706,2.034699,0.69282,0.52915,177.7002,167.8694,86.59534,93.9417,squat,squat,0,low,34.966270446777344
1,1776689563181,30.621,0.734847,0.905538,0.141421,0.774597,1.68523,2.073644,0.648074,0.616441,177.7002,164.2781,86.59534,94.82957,squat,squat,0,low,34.966270446777344
1,1776689563181,30.721,0.848528,0.927362,0,0.774597,1.679286,2.083267,0.663325,0.616441,174.0694,161.0896,86.57671,94.7802,squat,squat,0,low,34.966270446777344
1,1776689563181,30.821,0.894427,1.939072,0.244949,0.774597,1.697056,2.204541,0.69282,0.648074,163.976,154.1525,90.6019,96.35905,squat,squat,0,low,34.966270446777344
1,1776689563181,30.921,0.883176,1.989975,0.509902,0.748331,2.073644,2.445404,0.616441,0.632456,154.9938,144.538,94.16882,100.5716,squat,squat,0,low,34.966270446777344
1,1776689563181,31.021,0.905538,2.424871,0.616441,0.469042,2.306513,2.457641,0.632456,0.632456,143.6626,132.0486,98.49258,105.588,squat,squat,0,low,34.966270446777344
1,1776689563181,31.121,0.916515,2.445404,0.648074,0.316228,2.306513,2.19545,0.69282,0.663325,130.7504,118.7072,102.3949,110.2327,squat,squat,0,low,34.966270446777344
1,1776689563181,31.221,0.812404,2.497999,0.69282,0.632456,2.140093,2.116601,0.678233,0.678233,117.6672,104.1567,106.1426,115.5543,squat,squat,0,low,34.966270446777344
1,1776689563181,31.321,0.583095,2.469818,0.72111,0.632456,2.163331,2.10238,0.663325,0.678233,103.8101,89.35473,111.4974,121.2888,squat,squat,0,low,34.966270446777344
1,1776689563181,31.421,0.583095,1.749286,1.019804,0.663325,2.068816,2.04939,0.583095,0.678233,93.41415,80.16871,116.1696,126.4491,squat,squat,0,low,34.966270446777344
1,1776689563181,31.521,0.894427,3.056141,1.371131,0.748331,1.805547,1.754993,0.547723,0.616441,88.99094,74.95395,119.6182,130.3714,squat,squat,0,low,34.966270446777344
1,1776689563181,31.621,1.131371,3.228003,1.378405,0.860233,1.44222,1.256981,0.509902,0.616441,90.54988,78.78278,119.3909,129.2386,squat,squat,0,low,34.966270446777344
1,1776689563181,31.721,1.131371,3.379349,1.363818,1.029563,1.240967,0.8,0.447214,0.509902,98.52176,87.27063,116.9969,126.7233,squat,squat,0,low,34.966270446777344
1,1776689563181,31.821,1.157584,3.340659,1.349074,0.860233,1.183216,0.663325,0.316228,0.424264,108.0354,99.16232,114.0301,121.307,squat,squat,0,low,34.966270446777344
1,1776689563181,31.921,1.2,3.560899,1.341641,0.883176,1.183216,0.663325,0.316228,0.424264,119.4393,99.16232,109.3183,121.307,squat,squat,0,low,34.966270446777344
1,1776689563181,32.021,1.341641,3.849675,1.256981,0.87178,1.131371,0.979796,0.469042,0.509902,131.6113,110.9238,104.4877,116.025,squat,squat,0,low,34.966270446777344
1,1776689563181,32.121,1.32665,3.566511,0.583095,0.860233,1.311488,1.240967,0.447214,0.52915,144.5405,123.861,100.3756,110.3371,squat,squat,0,low,34.966270446777344
1,1776689563181,32.221,0.959166,2.622975,0,0.761577,1.157584,1.183216,0.489898,0.509902,156.8595,136.8148,95.08022,105.5476,squat,squat,0,low,34.966270446777344
1,1776689563181,32.321,0.959166,2.622975,0,0.761577,1.104536,1.148913,0.509902,0.565685,156.8595,148.8947,95.08022,101.3013,squat,squat,0,low,34.966270446777344
1,1776689563181,32.421,0.959166,2.39583,0.34641,0.424264,0.927362,1.378405,0.52915,0.663325,166.5082,156.6355,93.0248,100.2253,squat,squat,0,low,34.966270446777344
1,1776689563181,32.521,0.927362,2.383275,0.34641,0.52915,1.03923,1.649242,0.663325,0.69282,171.5997,162.1224,92.17621,98.00707,squat,squat,0,low,34.966270446777344
1,1776689563181,32.621,0.894427,2.19545,0.34641,0.938083,1.272792,1.805547,0.69282,0.761577,173.8392,163.3945,91.23962,96.02654,squat,squat,0,low,34.966270446777344
1,1776689563181,32.721,0.774597,1.720465,0.34641,1.131371,1.43527,1.630951,0.748331,1.104536,175.1805,163.3209,89.14842,95.07222,squat,squat,0,low,34.966270446777344
1,1776689563181,32.821,0.565685,1.726268,0.34641,1.16619,1.407125,1.618641,0.824621,1.16619,167.3777,157.7246,91.61193,97.83566,squat,squat,0,low,34.966270446777344
1,1776689563181,32.921,0.632456,2.626785,0.469042,1.264911,1.476482,1.749286,0.787401,1.157584,160.843,149.1971,95.01006,101.1162,squat,squat,0,low,34.966270446777344
1,1776689563181,33.021,1.148913,6.039867,0.447214,1.272792,1.954482,1.969772,0.8,1.077033,150.4029,140.7075,99.50549,104.3601,squat,squat,0,low,34.966270446777344
1,1776689563181,33.121,1.523155,7.062578,0.469042,1.272792,2.244994,2.271563,0.734847,1.086278,139.6325,129.8537,103.7653,109.6683,squat,squat,0,low,34.966270446777344
1,1776689563181,33.221,1.56205,7.275988,0.469042,1.019804,2.505993,2.222611,0.663325,1.216552,128.2858,117.7058,107.3582,114.715,squat,squat,0,low,34.966270446777344
1,1776689563181,33.321,1.581139,7.277362,0.489898,0.848528,2.416609,2.258318,0.678233,1,116.7292,105.0232,111.8115,119.9219,squat,squat,0,low,34.966270446777344
1,1776689563181,33.421,1.655295,7.190271,0.52915,0.748331,2.374868,2.253886,0.6,0.927362,104.1383,92.24953,117.0958,125.795,squat,squat,0,low,34.966270446777344
1,1776689563181,33.521,1.954482,7.089428,0.52915,0.547723,2.362202,2.249444,0.6,0.916515,95.62165,83.72753,121.2769,130.3129,squat,squat,0,low,34.966270446777344
1,1776689563181,33.621,1.720465,4.516636,0.34641,0.632456,2.362202,2.249444,0.6,0.916515,91.41932,83.72753,124.4067,130.3129,squat,squat,0,low,34.966270446777344
1,1776689563181,33.721,2.525866,2.723968,0.282843,0.748331,2.063977,1.939072,0.648074,0.927362,93.95924,79.38711,123.9382,132.8412,squat,squat,0,low,34.966270446777344
1,1776689563181,33.821,2.497999,3.246536,0.244949,0.87178,1.74356,1.574802,0.69282,1.122497,96.56089,82.74777,125.3558,131.5349,squat,squat,0,low,34.966270446777344
1,1776689563181,33.921,2.584569,3.48425,0.2,0.848528,1.104536,1.086278,0.774597,1.019804,106.4773,89.18007,122.3014,129.4379,squat,squat,0,low,34.966270446777344
1,1776689563181,34.021,2.584569,3.48425,0.2,0.848528,0.774597,0.894427,0.824621,0.8,106.4773,98.67081,122.3014,126.4155,squat,squat,0,low,34.966270446777344
1,1776689563181,34.121,2.675817,3.613862,0.2,0.83666,0.848528,0.98995,0.72111,1.077033,116.8238,110.5156,117.1329,122.3586,squat,squat,0,low,34.966270446777344
1,1776689563181,34.221,2.39583,3.452535,0.374166,0.787401,0.894427,1.122497,0.734847,1.191638,127.6079,118.176,111.5302,118.1782,squat,squat,0,low,34.966270446777344
1,1776689563181,34.321,2.433105,3.577709,0.424264,0.916515,0.83666,1.095445,0.69282,1.174734,137.4409,125.7907,107.7858,114.863,squat,squat,0,low,34.966270446777344
1,1776689563181,34.421,1.944222,3.736308,0.447214,0.860233,0.860233,1.019804,0.6,0.969536,146.0294,134.3974,103.4009,111.1723,squat,squat,0,low,34.966270446777344
